"id","team_fifa_api_id","team_api_id","date","buildUpPlaySpeed","buildUpPlaySpeedClass","buildUpPlayDribbling","buildUpPlayDribblingClass","buildUpPlayPassing","buildUpPlayPassingClass","buildUpPlayPositioningClass","chanceCreationPassing","chanceCreationPassingClass","chanceCreationCrossing","chanceCreationCrossingClass","chanceCreationShooting","chanceCreationShootingClass","chanceCreationPositioningClass","defencePressure","defencePressureClass","defenceAggression","defenceAggressionClass","defenceTeamWidth","defenceTeamWidthClass","defenceDefenderLineClass"
"1","434","9930","2010-02-22 00:00:00","60","Balanced","","Little","50","Mixed","Organised","60","Normal","65","Normal","55","Normal","Organised","50","Medium","55","Press","45","Normal","Cover"
"2","434","9930","2014-09-19 00:00:00","52","Balanced","48","Normal","56","Mixed","Organised","54","Normal","63","Normal","64","Normal","Organised","47","Medium","44","Press","54","Normal","Cover"
"3","434","9930","2015-09-10 00:00:00","47","Balanced","41","Normal","54","Mixed","Organised","54","Normal","63","Normal","64","Normal","Organised","47","Medium","44","Press","54","Normal","Cover"
"4","77","8485","2010-02-22 00:00:00","70","Fast","","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","60","Medium","70","Double","70","Wide","Cover"
"5","77","8485","2011-02-22 00:00:00","47","Balanced","","Little","52","Mixed","Organised","53","Normal","48","Normal","52","Normal","Organised","47","Medium","47","Press","52","Normal","Cover"
"6","77","8485","2012-02-22 00:00:00","58","Balanced","","Little","62","Mixed","Organised","45","Normal","70","Lots","55","Normal","Organised","40","Medium","40","Press","60","Normal","Cover"
"7","77","8485","2013-09-20 00:00:00","62","Balanced","","Little","45","Mixed","Organised","40","Normal","50","Normal","55","Normal","Organised","42","Medium","42","Press","60","Normal","Cover"
"8","77","8485","2014-09-19 00:00:00","58","Balanced","64","Normal","62","Mixed","Organised","56","Normal","68","Lots","57","Normal","Organised","41","Medium","42","Press","60","Normal","Cover"
"9","77","8485","2015-09-10 00:00:00","59","Balanced","64","Normal","53","Mixed","Organised","51","Normal","72","Lots","63","Normal","Free Form","49","Medium","45","Press","63","Normal","Cover"
"10","614","8576","2010-02-22 00:00:00","60","Balanced","","Little","40","Mixed","Organised","45","Normal","35","Normal","55","Normal","Organised","30","Deep","70","Double","30","Narrow","Offside Trap"
"11","614","8576","2011-02-22 00:00:00","65","Balanced","","Little","45","Mixed","Organised","65","Normal","65","Normal","50","Normal","Organised","45","Medium","45","Press","50","Normal","Cover"
"12","614","8576","2012-02-22 00:00:00","59","Balanced","","Little","52","Mixed","Organised","48","Normal","34","Normal","52","Normal","Organised","38","Medium","47","Press","53","Normal","Cover"
"13","614","8576","2013-09-20 00:00:00","59","Balanced","","Little","52","Mixed","Organised","48","Normal","34","Normal","52","Normal","Organised","38","Medium","47","Press","53","Normal","Cover"
"14","614","8576","2014-09-19 00:00:00","59","Balanced","57","Normal","52","Mixed","Organised","48","Normal","38","Normal","52","Normal","Organised","38","Medium","47","Press","53","Normal","Cover"
"15","614","8576","2015-09-10 00:00:00","59","Balanced","57","Normal","52","Mixed","Organised","48","Normal","38","Normal","52","Normal","Organised","38","Medium","47","Press","53","Normal","Cover"
"16","47","8564","2010-02-22 00:00:00","45","Balanced","","Little","30","Short","Free Form","55","Normal","45","Normal","70","Lots","Free Form","30","Deep","35","Press","60","Normal","Offside Trap"
"17","47","8564","2011-02-22 00:00:00","65","Balanced","","Little","50","Mixed","Organised","50","Normal","60","Normal","50","Normal","Free Form","50","Medium","50","Press","50","Normal","Offside Trap"
"18","47","8564","2012-02-22 00:00:00","45","Balanced","","Little","50","Mixed","Organised","65","Normal","20","Little","50","Normal","Free Form","45","Medium","45","Press","50","Normal","Cover"
"19","47","8564","2013-09-20 00:00:00","48","Balanced","","Little","54","Mixed","Organised","51","Normal","53","Normal","64","Normal","Free Form","48","Medium","49","Press","53","Normal","Cover"
"20","47","8564","2014-09-19 00:00:00","48","Balanced","70","Lots","52","Mixed","Organised","66","Normal","36","Normal","75","Lots","Organised","58","Medium","57","Press","49","Normal","Cover"
"21","47","8564","2015-09-10 00:00:00","48","Balanced","70","Lots","52","Mixed","Organised","66","Normal","36","Normal","69","Lots","Organised","58","Medium","57","Press","49","Normal","Cover"
"22","1901","10215","2010-02-22 00:00:00","30","Slow","","Little","30","Short","Organised","50","Normal","60","Normal","55","Normal","Organised","30","Deep","30","Contain","30","Narrow","Offside Trap"
"23","1901","10215","2011-02-22 00:00:00","30","Slow","","Little","50","Mixed","Organised","50","Normal","50","Normal","55","Normal","Organised","30","Deep","45","Press","65","Normal","Cover"
"24","1901","10215","2012-02-22 00:00:00","45","Balanced","","Little","44","Mixed","Organised","55","Normal","57","Normal","60","Normal","Organised","52","Medium","38","Press","61","Normal","Cover"
"25","1901","10215","2013-09-20 00:00:00","45","Balanced","","Little","44","Mixed","Organised","55","Normal","57","Normal","60","Normal","Organised","52","Medium","38","Press","61","Normal","Cover"
"26","1901","10215","2014-09-19 00:00:00","52","Balanced","53","Normal","44","Mixed","Organised","55","Normal","51","Normal","60","Normal","Organised","39","Medium","38","Press","61","Normal","Cover"
"27","1901","10215","2015-09-10 00:00:00","53","Balanced","53","Normal","44","Mixed","Organised","55","Normal","51","Normal","60","Normal","Organised","39","Medium","38","Press","61","Normal","Cover"
"28","650","10217","2010-02-22 00:00:00","30","Slow","","Little","35","Mixed","Organised","30","Safe","50","Normal","65","Normal","Organised","30","Deep","30","Contain","30","Narrow","Cover"
"29","650","10217","2011-02-22 00:00:00","53","Balanced","","Little","53","Mixed","Organised","48","Normal","67","Lots","66","Normal","Organised","46","Medium","62","Press","65","Normal","Cover"
"30","650","10217","2012-02-22 00:00:00","38","Balanced","","Little","44","Mixed","Organised","55","Normal","60","Normal","44","Normal","Organised","50","Medium","58","Press","62","Normal","Cover"
"31","650","10217","2013-09-20 00:00:00","38","Balanced","","Little","47","Mixed","Organised","55","Normal","55","Normal","44","Normal","Organised","50","Medium","58","Press","52","Normal","Cover"
"32","650","10217","2014-09-19 00:00:00","58","Balanced","47","Normal","55","Mixed","Organised","55","Normal","52","Normal","44","Normal","Organised","57","Medium","50","Press","52","Normal","Cover"
"33","650","10217","2015-09-10 00:00:00","56","Balanced","40","Normal","66","Mixed","Organised","55","Normal","52","Normal","38","Normal","Organised","40","Medium","50","Press","52","Normal","Cover"
"34","245","8593","2010-02-22 00:00:00","30","Slow","","Little","30","Short","Free Form","50","Normal","60","Normal","70","Lots","Organised","30","Deep","30","Contain","30","Narrow","Cover"
"35","245","8593","2011-02-22 00:00:00","40","Balanced","","Little","38","Mixed","Free Form","67","Risky","65","Normal","67","Lots","Organised","65","Medium","57","Press","63","Normal","Cover"
"36","245","8593","2012-02-22 00:00:00","31","Slow","","Little","33","Short","Organised","39","Normal","64","Normal","46","Normal","Free Form","68","High","65","Press","60","Normal","Cover"
"37","245","8593","2013-09-20 00:00:00","35","Balanced","","Little","33","Short","Free Form","39","Normal","52","Normal","46","Normal","Free Form","68","High","65","Press","50","Normal","Cover"
"38","245","8593","2014-09-19 00:00:00","40","Balanced","40","Normal","30","Short","Organised","51","Normal","55","Normal","39","Normal","Free Form","64","Medium","53","Press","64","Normal","Cover"
"39","245","8593","2015-09-10 00:00:00","35","Balanced","43","Normal","39","Mixed","Organised","58","Normal","55","Normal","30","Little","Free Form","64","Medium","53","Press","59","Normal","Cover"
"40","1861","9865","2010-02-22 00:00:00","65","Balanced","","Little","45","Mixed","Organised","45","Normal","45","Normal","70","Lots","Organised","70","High","65","Press","30","Narrow","Cover"
"41","1861","9865","2011-02-22 00:00:00","55","Balanced","","Little","53","Mixed","Organised","57","Normal","54","Normal","69","Lots","Organised","58","Medium","68","Double","67","Wide","Cover"
"42","1861","9865","2012-02-22 00:00:00","42","Balanced","","Little","70","Long","Organised","57","Normal","54","Normal","40","Normal","Organised","37","Medium","53","Press","45","Normal","Cover"
"43","1861","9865","2013-09-20 00:00:00","46","Balanced","","Little","65","Mixed","Organised","57","Normal","54","Normal","40","Normal","Organised","37","Medium","53","Press","45","Normal","Cover"
"44","1861","9865","2014-09-19 00:00:00","46","Balanced","41","Normal","65","Mixed","Organised","57","Normal","54","Normal","40","Normal","Organised","37","Medium","53","Press","45","Normal","Cover"
"45","1861","9865","2015-09-10 00:00:00","46","Balanced","41","Normal","65","Mixed","Organised","57","Normal","54","Normal","40","Normal","Organised","37","Medium","53","Press","45","Normal","Cover"
"46","229","8635","2010-02-22 00:00:00","50","Balanced","","Little","35","Mixed","Organised","70","Risky","50","Normal","60","Normal","Organised","70","High","50","Press","70","Wide","Cover"
"47","229","8635","2011-02-22 00:00:00","50","Balanced","","Little","52","Mixed","Free Form","70","Risky","50","Normal","60","Normal","Organised","70","High","50","Press","70","Wide","Offside Trap"
"48","229","8635","2012-02-22 00:00:00","52","Balanced","","Little","41","Mixed","Organised","53","Normal","57","Normal","47","Normal","Organised","45","Medium","43","Press","52","Normal","Cover"
"49","229","8635","2013-09-20 00:00:00","52","Balanced","","Little","41","Mixed","Organised","68","Risky","67","Lots","47","Normal","Organised","60","Medium","43","Press","65","Normal","Cover"
"50","229","8635","2014-09-19 00:00:00","52","Balanced","46","Normal","51","Mixed","Organised","60","Normal","53","Normal","47","Normal","Organised","60","Medium","50","Press","65","Normal","Cover"
"51","229","8635","2015-09-10 00:00:00","52","Balanced","46","Normal","51","Mixed","Organised","60","Normal","53","Normal","47","Normal","Organised","53","Medium","50","Press","61","Normal","Cover"
"52","1530","8121","2010-02-22 00:00:00","45","Balanced","","Little","35","Mixed","Organised","35","Normal","50","Normal","60","Normal","Organised","30","Deep","55","Press","30","Narrow","Offside Trap"
"53","1530","8121","2011-02-22 00:00:00","65","Balanced","","Little","50","Mixed","Organised","50","Normal","65","Normal","65","Normal","Organised","45","Medium","45","Press","50","Normal","Cover"
"54","1530","8121","2012-02-22 00:00:00","50","Balanced","","Little","50","Mixed","Organised","52","Normal","52","Normal","48","Normal","Organised","44","Medium","44","Press","51","Normal","Cover"
"55","1530","8121","2013-09-20 00:00:00","50","Balanced","","Little","50","Mixed","Organised","52","Normal","52","Normal","48","Normal","Organised","44","Medium","44","Press","51","Normal","Cover"
"56","1530","8121","2014-09-19 00:00:00","48","Balanced","61","Normal","50","Mixed","Organised","40","Normal","52","Normal","48","Normal","Organised","44","Medium","44","Press","51","Normal","Cover"
"57","1530","8121","2015-09-10 00:00:00","48","Balanced","61","Normal","50","Mixed","Organised","40","Normal","52","Normal","48","Normal","Organised","44","Medium","44","Press","51","Normal","Cover"
"58","111082","8322","2010-02-22 00:00:00","30","Slow","","Little","45","Mixed","Organised","45","Normal","35","Normal","70","Lots","Organised","65","Medium","70","Double","70","Wide","Cover"
"59","111082","8322","2011-02-22 00:00:00","46","Balanced","","Little","37","Mixed","Organised","33","Safe","62","Normal","52","Normal","Organised","47","Medium","48","Press","45","Normal","Cover"
"60","111989","108893","2010-02-22 00:00:00","50","Balanced","","Little","65","Mixed","Organised","30","Safe","35","Normal","30","Little","Organised","30","Deep","50","Press","35","Normal","Cover"
"61","111989","108893","2011-02-22 00:00:00","50","Balanced","","Little","65","Mixed","Organised","35","Normal","35","Normal","35","Normal","Organised","25","Deep","45","Press","35","Normal","Cover"
"62","111989","108893","2012-02-22 00:00:00","23","Slow","","Little","33","Short","Organised","49","Normal","40","Normal","43","Normal","Organised","44","Medium","32","Contain","36","Normal","Cover"
"63","111989","108893","2013-09-20 00:00:00","41","Balanced","","Little","48","Mixed","Organised","58","Normal","40","Normal","43","Normal","Organised","39","Medium","43","Press","58","Normal","Cover"
"64","111989","108893","2014-09-19 00:00:00","39","Balanced","48","Normal","54","Mixed","Organised","49","Normal","40","Normal","43","Normal","Organised","44","Medium","53","Press","57","Normal","Cover"
"65","111989","108893","2015-09-10 00:00:00","56","Balanced","46","Normal","54","Mixed","Organised","55","Normal","40","Normal","43","Normal","Organised","48","Medium","53","Press","57","Normal","Cover"
"66","159","9912","2010-02-22 00:00:00","40","Balanced","","Little","65","Mixed","Organised","45","Normal","70","Lots","50","Normal","Organised","45","Medium","40","Press","50","Normal","Cover"
"67","159","9912","2011-02-22 00:00:00","46","Balanced","","Little","58","Mixed","Organised","45","Normal","33","Little","42","Normal","Organised","38","Medium","48","Press","50","Normal","Cover"
"68","159","9912","2014-09-19 00:00:00","62","Balanced","49","Normal","55","Mixed","Organised","56","Normal","51","Normal","52","Normal","Organised","36","Medium","54","Press","48","Normal","Cover"
"69","112513","158085","2014-09-19 00:00:00","69","Fast","66","Normal","39","Mixed","Organised","55","Normal","59","Normal","46","Normal","Organised","35","Medium","37","Press","37","Normal","Cover"
"70","112513","158085","2015-09-10 00:00:00","65","Balanced","66","Normal","39","Mixed","Organised","55","Normal","59","Normal","46","Normal","Organised","37","Medium","39","Press","37","Normal","Cover"
"71","1","9825","2010-02-22 00:00:00","66","Balanced","","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","Cover"
"72","1","9825","2011-02-22 00:00:00","75","Fast","","Little","40","Mixed","Free Form","40","Normal","45","Normal","65","Normal","Free Form","50","Medium","40","Press","45","Normal","Cover"
"73","1","9825","2012-02-22 00:00:00","25","Slow","","Little","32","Short","Organised","41","Normal","34","Normal","30","Little","Free Form","57","Medium","57","Press","52","Normal","Cover"
"74","1","9825","2013-09-20 00:00:00","30","Slow","","Little","29","Short","Organised","41","Normal","55","Normal","39","Normal","Free Form","64","Medium","54","Press","52","Normal","Cover"
"75","1","9825","2014-09-19 00:00:00","59","Balanced","51","Normal","26","Short","Organised","28","Safe","55","Normal","64","Normal","Free Form","51","Medium","44","Press","52","Normal","Cover"
"76","1","9825","2015-09-10 00:00:00","59","Balanced","51","Normal","30","Short","Organised","28","Safe","44","Normal","46","Normal","Free Form","51","Medium","44","Press","52","Normal","Cover"
"77","2","10252","2010-02-22 00:00:00","70","Fast","","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","Cover"
"78","2","10252","2011-02-22 00:00:00","65","Balanced","","Little","50","Mixed","Organised","45","Normal","55","Normal","50","Normal","Organised","35","Medium","45","Press","65","Normal","Cover"
"79","2","10252","2012-02-22 00:00:00","67","Fast","","Little","58","Mixed","Organised","44","Normal","60","Normal","56","Normal","Organised","43","Medium","50","Press","52","Normal","Cover"
"80","2","10252","2013-09-20 00:00:00","63","Balanced","","Little","59","Mixed","Organised","52","Normal","55","Normal","34","Normal","Organised","39","Medium","41","Press","54","Normal","Cover"
"81","2","10252","2014-09-19 00:00:00","66","Balanced","32","Little","72","Long","Organised","63","Normal","48","Normal","56","Normal","Organised","39","Medium","42","Press","52","Normal","Cover"
"82","2","10252","2015-09-10 00:00:00","63","Balanced","37","Normal","54","Mixed","Organised","60","Normal","48","Normal","38","Normal","Organised","35","Medium","44","Press","54","Normal","Cover"
"83","39","8524","2010-02-22 00:00:00","35","Balanced","","Little","40","Mixed","Organised","35","Normal","30","Little","55","Normal","Organised","30","Deep","30","Contain","55","Normal","Offside Trap"
"84","39","8524","2011-02-22 00:00:00","65","Balanced","","Little","50","Mixed","Organised","50","Normal","65","Normal","55","Normal","Organised","45","Medium","55","Press","65","Normal","Cover"
"85","39","8524","2012-02-22 00:00:00","40","Balanced","","Little","50","Mixed","Organised","53","Normal","47","Normal","50","Normal","Organised","55","Medium","42","Press","50","Normal","Cover"
"86","39","8524","2013-09-20 00:00:00","64","Balanced","","Little","36","Mixed","Organised","38","Normal","49","Normal","51","Normal","Free Form","54","Medium","53","Press","49","Normal","Cover"
"87","39","8524","2014-09-19 00:00:00","64","Balanced","45","Normal","37","Mixed","Organised","38","Normal","49","Normal","51","Normal","Organised","36","Medium","66","Press","49","Normal","Cover"
"88","39","8524","2015-09-10 00:00:00","64","Balanced","45","Normal","37","Mixed","Organised","38","Normal","49","Normal","51","Normal","Organised","36","Medium","63","Press","49","Normal","Cover"
"89","448","8315","2010-02-22 00:00:00","60","Balanced","","Little","45","Mixed","Organised","35","Normal","70","Lots","55","Normal","Organised","30","Deep","70","Double","35","Normal","Cover"
"90","448","8315","2011-02-22 00:00:00","70","Fast","","Little","69","Long","Organised","55","Normal","72","Lots","57","Normal","Organised","48","Medium","67","Double","55","Normal","Cover"
"91","448","8315","2012-02-22 00:00:00","42","Balanced","","Little","59","Mixed","Organised","36","Normal","78","Lots","59","Normal","Organised","37","Medium","60","Press","68","Wide","Cover"
"92","448","8315","2013-09-20 00:00:00","46","Balanced","","Little","38","Mixed","Organised","52","Normal","73","Lots","37","Normal","Free Form","37","Medium","60","Press","68","Wide","Cover"
"93","448","8315","2014-09-19 00:00:00","46","Balanced","41","Normal","38","Mixed","Organised","52","Normal","68","Lots","37","Normal","Organised","37","Medium","60","Press","65","Normal","Cover"
"94","448","8315","2015-09-10 00:00:00","46","Balanced","46","Normal","39","Mixed","Organised","50","Normal","60","Normal","36","Normal","Free Form","49","Medium","57","Press","50","Normal","Cover"
"95","240","9906","2010-02-22 00:00:00","64","Balanced","","Little","30","Short","Free Form","65","Normal","50","Normal","70","Lots","Free Form","70","High","34","Press","55","Normal","Offside Trap"
"96","240","9906","2011-02-22 00:00:00","57","Balanced","","Little","54","Mixed","Organised","58","Normal","69","Lots","79","Lots","Organised","58","Medium","48","Press","54","Normal","Cover"
"97","240","9906","2012-02-22 00:00:00","47","Balanced","","Little","51","Mixed","Organised","67","Risky","63","Normal","54","Normal","Organised","52","Medium","37","Press","55","Normal","Cover"
"98","240","9906","2013-09-20 00:00:00","47","Balanced","","Little","51","Mixed","Organised","70","Risky","65","Normal","54","Normal","Organised","52","Medium","37","Press","55","Normal","Cover"
"99","240","9906","2014-09-19 00:00:00","47","Balanced","52","Normal","51","Mixed","Organised","67","Risky","67","Lots","54","Normal","Organised","52","Medium","37","Press","55","Normal","Cover"
"100","240","9906","2015-09-10 00:00:00","57","Balanced","50","Normal","50","Mixed","Organised","61","Normal","62","Normal","49","Normal","Organised","49","Medium","42","Press","52","Normal","Cover"
